
TEST CASES
case	CUSTOMERS	ACCOUNTS	STATES	pairings
1	Consumers	Checking	California	3
2	VIPConsumers	Savings	California	3
3	Businesses	Mortgage	California	3
4	Non-Profits	ConsumerLoan	California	3
5	VIPConsumers	Checking	Nevada	3
6	Consumers	Savings	Nevada	3
7	Non-Profits	Mortgage	Nevada	3
8	Businesses	ConsumerLoan	Nevada	3
9	Businesses	Checking	Utah	3
10	Non-Profits	Savings	Utah	3
11	Consumers	Mortgage	Utah	3
12	VIPConsumers	ConsumerLoan	Utah	3
13	Non-Profits	Checking	Idaho	3
14	Businesses	Savings	Idaho	3
15	VIPConsumers	Mortgage	Idaho	3
16	Consumers	ConsumerLoan	Idaho	3
17	Consumers	CommercialLoan	Arizona	3
18	VIPConsumers	Checking	Arizona	2
19	Businesses	Savings	Arizona	2
20	Non-Profits	Mortgage	Arizona	2
21	VIPConsumers	CommercialLoan	NewMexico	3
22	Consumers	Checking	NewMexico	2
23	Non-Profits	Savings	NewMexico	2
24	Businesses	Mortgage	NewMexico	2
25	Businesses	CommercialLoan	California	2
26	Non-Profits	CommercialLoan	Nevada	2
27	~Consumers	CommercialLoan	Utah	1
28	~VIPConsumers	CommercialLoan	Idaho	1
29	~Consumers	ConsumerLoan	Arizona	1
30	~VIPConsumers	ConsumerLoan	NewMexico	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
STATES	ACCOUNTS	California	Checking	1	1
STATES	ACCOUNTS	California	Savings	1	2
STATES	ACCOUNTS	California	Mortgage	1	3
STATES	ACCOUNTS	California	ConsumerLoan	1	4
STATES	ACCOUNTS	California	CommercialLoan	1	25
STATES	ACCOUNTS	Nevada	Checking	1	5
STATES	ACCOUNTS	Nevada	Savings	1	6
STATES	ACCOUNTS	Nevada	Mortgage	1	7
STATES	ACCOUNTS	Nevada	ConsumerLoan	1	8
STATES	ACCOUNTS	Nevada	CommercialLoan	1	26
STATES	ACCOUNTS	Utah	Checking	1	9
STATES	ACCOUNTS	Utah	Savings	1	10
STATES	ACCOUNTS	Utah	Mortgage	1	11
STATES	ACCOUNTS	Utah	ConsumerLoan	1	12
STATES	ACCOUNTS	Utah	CommercialLoan	1	27
STATES	ACCOUNTS	Idaho	Checking	1	13
STATES	ACCOUNTS	Idaho	Savings	1	14
STATES	ACCOUNTS	Idaho	Mortgage	1	15
STATES	ACCOUNTS	Idaho	ConsumerLoan	1	16
STATES	ACCOUNTS	Idaho	CommercialLoan	1	28
STATES	ACCOUNTS	Arizona	Checking	1	18
STATES	ACCOUNTS	Arizona	Savings	1	19
STATES	ACCOUNTS	Arizona	Mortgage	1	20
STATES	ACCOUNTS	Arizona	ConsumerLoan	1	29
STATES	ACCOUNTS	Arizona	CommercialLoan	1	17
STATES	ACCOUNTS	NewMexico	Checking	1	22
STATES	ACCOUNTS	NewMexico	Savings	1	23
STATES	ACCOUNTS	NewMexico	Mortgage	1	24
STATES	ACCOUNTS	NewMexico	ConsumerLoan	1	30
STATES	ACCOUNTS	NewMexico	CommercialLoan	1	21
STATES	CUSTOMERS	California	Consumers	1	1
STATES	CUSTOMERS	California	VIPConsumers	1	2
STATES	CUSTOMERS	California	Businesses	2	3, 25
STATES	CUSTOMERS	California	Non-Profits	1	4
STATES	CUSTOMERS	Nevada	Consumers	1	6
STATES	CUSTOMERS	Nevada	VIPConsumers	1	5
STATES	CUSTOMERS	Nevada	Businesses	1	8
STATES	CUSTOMERS	Nevada	Non-Profits	2	7, 26
STATES	CUSTOMERS	Utah	Consumers	2	11, 27
STATES	CUSTOMERS	Utah	VIPConsumers	1	12
STATES	CUSTOMERS	Utah	Businesses	1	9
STATES	CUSTOMERS	Utah	Non-Profits	1	10
STATES	CUSTOMERS	Idaho	Consumers	1	16
STATES	CUSTOMERS	Idaho	VIPConsumers	2	15, 28
STATES	CUSTOMERS	Idaho	Businesses	1	14
STATES	CUSTOMERS	Idaho	Non-Profits	1	13
STATES	CUSTOMERS	Arizona	Consumers	2	17, 29
STATES	CUSTOMERS	Arizona	VIPConsumers	1	18
STATES	CUSTOMERS	Arizona	Businesses	1	19
STATES	CUSTOMERS	Arizona	Non-Profits	1	20
STATES	CUSTOMERS	NewMexico	Consumers	1	22
STATES	CUSTOMERS	NewMexico	VIPConsumers	2	21, 30
STATES	CUSTOMERS	NewMexico	Businesses	1	24
STATES	CUSTOMERS	NewMexico	Non-Profits	1	23
